interaction_id;customer_id;channel;direction;start_timestamp;duration_seconds;reason_code;agent_id
INT-880001;CLI-1001;PHONE;INBOUND;2026-07-12T09:02:11;412;SINISTRE_DECLARATION;AGT-042
INT-880002;CLI-1002;PHONE;INBOUND;2026-07-12T09:15:47;238;SUIVI_SINISTRE;AGT-017
INT-880003;CLI-1005;CHAT;INBOUND;2026-07-12T09:31:05;655;SOUSCRIPTION_INFO;AGT-023
INT-880004;CLI-1004;PHONE;OUTBOUND;2026-07-12T10:05:33;184;RELANCE_PIECES;AGT-042
INT-880005;CLI-1011;EMAIL;INBOUND;2026-07-12T10:22:00;0;ATTESTATION_DEMANDE;
INT-880006;CLI-1003;PHONE;INBOUND;2026-07-12T10:48:19;521;RESILIATION_DEMANDE;AGT-008
INT-880007;CLI-1006;PHONE;INBOUND;2026-07-12T11:02:54;347;RECLAMATION;AGT-017
INT-880008;CLI-1001;CHAT;INBOUND;2026-07-12T11:30:12;289;SUIVI_SINISTRE;AGT-023
INT-880009;CLI-1010;PHONE;INBOUND;2026-07-12T13:44:08;96;ERREUR_APPEL;AGT-008
INT-880010;CLI-1002;EMAIL;INBOUND;2026-07-12T14:12:00;0;ENVOI_JUSTIFICATIF;
INT-880011;CLI-1007;PHONE;OUTBOUND;2026-07-12T15:01:26;433;FIDELISATION_OFFRE;AGT-042
INT-880012;CLI-1005;PHONE;INBOUND;2026-07-12T16:20:41;178;SOUSCRIPTION_FINALISATION;AGT-023
