contract_id;customer_id;product_code;status;start_date;end_date;annual_premium;channel_code;event_timestamp
CTR-000001;CLI-1001;AUTO01;EN_COURS;2024-03-15;;450.00;WEB;2026-07-12T08:15:00
CTR-000002;CLI-1002;HAB01;ACTIF;2023-11-01;;320.50;AGENCE;2026-07-12T09:02:00
CTR-000003;CLI-1003;AUTO01;RESILIE;2022-01-10;2026-05-31;510.00;AGENCE;2026-07-12T09:30:00
CTR-000004;CLI-1004;SANTE01;SUSPENDU;2024-06-01;;89.90;TEL;2026-07-12T10:00:00
CTR-000005;CLI-1005;HAB01;EN_COURS;2026-08-01;;275.00;WEB;2026-07-12T10:12:00
CTR-000006;CLI-1006;AUTO02;ACTIF;2025-02-20;2026-12-31;620.00;COURTIER;2026-07-12T10:45:00
CTR-000007;CLI-1007;HAB01;EN_COURS;2024-09-15;;;WEB;2026-07-12T11:00:00
CTR-000006;CLI-1006;AUTO02;RESILIE;2025-02-20;2026-07-01;620.00;COURTIER;2026-07-12T14:30:00
CTR-000008;;AUTO01;EN_COURS;2024-01-01;;400.00;WEB;2026-07-12T11:20:00
CTR-000009;CLI-1009;INCONNU9;EN_COURS;2024-05-05;;150.00;TEL;2026-07-12T11:35:00
CTR-000010;CLI-1010;AUTO01;EN_COURS;2024-04-01;2023-01-01;300.00;WEB;2026-07-12T11:50:00
CTR-000011;CLI-1011;SANTE01;ACTIF;2025-12-01;;95,50;AGENCE;2026-07-12T12:05:00
